S.No.,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls/per 90,Ast/per 90,xG/expexted season,xA/expected season,xG/per 90,xA/per 90,Season
2005,Jorge de Frutos,es ESP,MFDF,Valladolid,22,1997,3,0,59,0.7,0,0,0,0,0,0,0.1,0.1,0.18,0.1,2019/2020
2006,Ramiro Funes Mori,ar ARG,DF,Villarreal,28,1991,7,5,453,5,0,0,1,0,0,0,0.1,0,0.01,0.01,2019/2020
2007,Enric Gallego,es ESP,FWMF,Getafe,32,1986,5,2,164,1.8,0,0,0,0,0,0,0.2,0,0.12,0,2019/2020
2008,Enric Gallego,es ESP,FW,Osasuna,32,1986,14,9,880,9.8,3,0,5,1,0.31,0,2.4,0.8,0.24,0.08,2019/2020
2009,KÃ©vin Gameiro,fr FRA,FW,Valencia,32,1987,29,17,1581,17.6,6,2,0,0,0.34,0.11,5.3,3.1,0.3,0.18,2019/2020
2010,Fran GÃ¡mez,es ESP,DF,Mallorca,28,1991,23,18,1768,19.6,0,1,5,0,0,0.05,1,0.9,0.05,0.05,2019/2020
2011,Ezequiel Garay,ar ARG,DF,Valencia,32,1986,17,17,1437,16,0,0,2,0,0,0,0.5,0.1,0.03,0,2019/2020
2012,Dani GarcÃ­a,es ESP,MF,Athletic Club,29,1990,36,33,3029,33.7,0,1,11,0,0,0.03,0.5,1,0.02,0.03,2019/2020
2013,David GarcÃ­a,es ESP,DF,Osasuna,25,1994,32,31,2793,31,0,0,7,0,0,0,1.2,0.3,0.04,0.01,2019/2020
2014,Javi GarcÃ­a,es ESP,MF,Betis,32,1987,8,4,377,4.2,0,0,2,0,0,0,0.2,0,0.05,0,2019/2020
2015,Manu GarcÃ­a,es ESP,MF,AlavÃ©s,33,1986,30,22,1967,21.9,0,0,11,1,0,0,2,0.2,0.09,0.01,2019/2020
2016,RaÃºl GarcÃ­a,es ESP,DF,Getafe,30,1989,4,3,243,2.7,0,0,0,0,0,0,0,0.2,0,0.07,2019/2020
2017,RaÃºl GarcÃ­a,es ESP,MFFW,Athletic Club,33,1986,35,33,2869,31.9,15,1,11,0,0.47,0.03,10.8,0.9,0.34,0.03,2019/2020
2018,RaÃºl GarcÃ­a,es ESP,DFMF,Valladolid,30,1989,12,12,1012,11.2,0,1,2,0,0,0.09,0.2,0.3,0.02,0.03,2019/2020
2019,RubÃ©n GarcÃ­a,es ESP,MFFW,Osasuna,26,1993,30,25,2188,24.3,8,2,6,0,0.33,0.08,6.5,3.9,0.27,0.16,2019/2020
2020,Unai GarcÃ­a,es ESP,DF,Osasuna,27,1992,8,6,536,6,1,0,0,0,0.17,0,0.2,0.1,0.03,0.02,2019/2020
2021,VÃ­ctor GarcÃ­a,es ESP,FWMF,Valladolid,22,1997,2,1,88,1,1,0,0,0,1.02,0,0.1,0.1,0.13,0.1,2019/2020
2022,Manuel Garrido,es ESP,FW,LeganÃ©s,18,2000,4,2,115,1.3,0,0,1,0,0,0,0.3,0,0.22,0,2019/2020
2023,Mario Gaspar,es ESP,DF,Villarreal,28,1990,25,22,1962,21.8,0,2,2,0,0,0.09,0.9,1.8,0.04,0.08,2019/2020
2024,JosÃ© Antonio MartÃ­nez Gil,es ESP,DF,Granada,26,1993,20,13,1191,13.2,0,1,0,0,0,0.08,0.1,0,0,0,2019/2020
2025,Ibai GÃ³mez,es ESP,FW,Athletic Club,29,1989,17,6,695,7.7,0,0,0,0,0,0,1.3,1.4,0.17,0.19,2019/2020
2026,Maxi GÃ³mez,uy URU,FW,Valencia,22,1996,33,25,2143,23.8,9,2,5,0,0.38,0.08,6.2,2.2,0.26,0.09,2019/2020
2027,Moi GÃ³mez,es ESP,FWMF,Villarreal,25,1994,37,26,2319,25.8,5,4,1,0,0.19,0.16,3.2,3,0.12,0.12,2019/2020
2028,Sergi GÃ³mez,es ESP,DF,Sevilla,27,1992,13,8,717,8,0,0,4,0,0,0,0.1,0.1,0.01,0.01,2019/2020
2029,Maxime Gonalons,fr FRA,MF,Granada,30,1989,19,17,1506,16.7,0,0,7,0,0,0,0.2,0.5,0.01,0.03,2019/2020
2030,Bruno GonzÃ¡lez,es ESP,DF,Getafe,29,1990,2,2,180,2,0,0,1,0,0,0,0,0,0,0.01,2019/2020
2031,Bruno GonzÃ¡lez,es ESP,DF,Levante,29,1990,6,5,456,5.1,0,0,0,0,0,0,0,0,0,0,2019/2020
2032,Ã‰dgar GonzÃ¡lez,es ESP,MF,Betis,22,1997,10,9,681,7.6,0,0,3,0,0,0,1,0,0.14,0,2019/2020
2033,Gonzalo,es ESP,DF,Levante,22,1997,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,2019/2020
2034,Andoni Gorosabel,es ESP,DF,Real Sociedad,22,1996,14,8,714,7.9,0,0,2,0,0,0,0,0.4,0,0.05,2019/2020
2035,Esteban Granero,es ESP,MF,Espanyol,32,1987,11,5,473,5.3,1,0,5,0,0.19,0,1.3,0.5,0.25,0.09,2019/2020
2036,Antoine Griezmann,fr FRA,FW,Barcelona,28,1991,35,31,2549,28.3,9,4,2,0,0.32,0.14,8.1,3.8,0.29,0.14,2019/2020
2037,AndrÃ©s Guardado,mx MEX,MF,Betis,32,1986,28,25,2046,22.7,0,3,9,0,0,0.13,1,2.3,0.04,0.1,2019/2020
2038,Sergi Guardiola,es ESP,FW,Valladolid,28,1991,35,31,2655,29.5,8,2,6,0,0.27,0.07,6,1.7,0.2,0.06,2019/2020
2039,Nemanja Gudelj,rs SRB,MFDF,Sevilla,27,1991,24,9,1216,13.5,0,0,6,0,0,0,0.3,0.1,0.02,0.01,2019/2020
2040,GonÃ§alo Guedes,pt POR,MFFW,Valencia,22,1996,21,14,1266,14.1,2,2,3,0,0.14,0.14,1.3,1.6,0.09,0.11,2019/2020
2041,AdriÃ¡n Guerrero,es ESP,DF,Valencia,21,1998,2,1,126,1.4,0,0,1,0,0,0,0,0,0,0,2019/2020
2042,Ander Guevara,es ESP,MF,Real Sociedad,22,1997,14,11,939,10.4,0,0,4,0,0,0,0,0.4,0,0.04,2019/2020
2043,John Guidetti,se SWE,FWDF,AlavÃ©s,27,1992,5,1,96,1.1,0,0,0,0,0,0,0.2,0.1,0.19,0.05,2019/2020
2044,Hugo GuillamÃ³n,es ESP,DF,Valencia,19,2000,6,5,495,5.5,0,0,3,0,0,0,0,0,0,0,2019/2020
2045,Munir El Haddadi,ma MAR,FW,Sevilla,23,1995,21,14,1250,13.9,5,2,1,0,0.36,0.14,3.1,1.4,0.22,0.1,2019/2020
2046,Eden Hazard,be BEL,FWMF,Real Madrid,28,1991,16,14,1077,12,1,3,0,0,0.08,0.25,2.4,2.6,0.2,0.22,2019/2020
2047,Mario Hermoso,es ESP,DF,AtlÃ©tico Madrid,24,1995,17,15,1217,13.5,0,0,3,1,0,0,0.7,0.1,0.05,0,2019/2020
2048,Aridane HernÃ¡ndez,gq EQG,DF,Osasuna,30,1989,29,29,2610,29,3,0,8,0,0.1,0,1.6,0.2,0.06,0.01,2019/2020
2049,Javier HernÃ¡ndez,mx MEX,FW,Sevilla,31,1988,9,4,448,5,1,0,0,0,0.2,0,2.5,0.3,0.5,0.06,2019/2020
2050,Juan HernÃ¡ndez,es ESP,FWMF,Celta Vigo,24,1994,5,1,87,1,0,0,0,0,0,0,0,0.3,0.02,0.27,2019/2020
2051,HÃ©ctor Herrera,mx MEX,MF,AtlÃ©tico Madrid,29,1990,21,12,1123,12.5,0,2,1,0,0,0.16,0.7,1.7,0.06,0.13,2019/2020
2052,Sergio Herrera,es ESP,GK,Osasuna,26,1993,19,18,1655,18.4,0,0,2,1,0,0,0,0.1,0,0.01,2019/2020
2053,Yangel Herrera,ve VEN,MF,Granada,21,1998,30,28,2368,26.3,2,3,14,0,0.08,0.11,2.1,1.2,0.08,0.05,2019/2020
2054,Iago HerrerÃ­n,es ESP,GK,Athletic Club,31,1988,5,4,425,4.7,0,0,0,0,0,0,0,0,0,0,2019/2020
2055,Pablo HervÃ­as,es ESP,MFFW,Valladolid,26,1993,25,9,1017,11.3,1,0,1,0,0.09,0,1,0.8,0.09,0.07,2019/2020
2056,Robert IbÃ¡Ã±ez,es ESP,MFFW,Osasuna,26,1993,14,5,537,6,1,0,3,0,0.17,0,1.1,0.2,0.19,0.04,2019/2020
2057,Vicente Iborra,es ESP,MF,Villarreal,31,1988,34,33,2648,29.4,1,2,10,1,0.03,0.07,2.7,0.6,0.09,0.02,2019/2020
2058,Borja Iglesias,es ESP,FW,Betis,26,1993,35,21,1922,21.4,3,2,3,1,0.14,0.09,3.3,2,0.15,0.09,2019/2020
2059,Asier Illarramendi,es ESP,MF,Real Sociedad,29,1990,3,3,216,2.4,0,0,0,0,0,0,0,0.1,0.01,0.06,2019/2020
2060,Takashi Inui,jp JPN,MFFW,Eibar,31,1988,29,23,1960,21.8,2,3,2,0,0.09,0.14,3.9,1.6,0.18,0.07,2019/2020
2061,Alexander Isak,se SWE,FW,Real Sociedad,19,1999,37,14,1507,16.7,9,1,3,0,0.54,0.06,6.3,2.2,0.38,0.13,2019/2020
2062,Isco,es ESP,FWMF,Real Madrid,27,1992,23,15,1181,13.1,1,2,2,0,0.08,0.15,1.5,2.1,0.12,0.16,2019/2020
2063,Ismael,es ESP,MF,Betis,18,2000,3,1,83,0.9,0,0,1,0,0,0,0,0,0,0,2019/2020
2064,Ander Iturraspe,es ESP,MF,Espanyol,30,1989,8,3,242,2.7,0,0,1,0,0,0,0,0,0,0,2019/2020
2065,Jacobo,es ESP,DFMF,Celta Vigo,22,1997,2,1,83,0.9,0,0,1,0,0,0,0,0,0,0,2019/2020
2066,Adnan Januzaj,be BEL,FWMF,Real Sociedad,24,1995,24,13,1167,13,3,3,3,0,0.23,0.23,1.4,2.5,0.11,0.19,2019/2020
2067,Jason,es ESP,MF,Getafe,25,1994,20,14,1175,13.1,1,4,5,0,0.08,0.31,1.6,2.3,0.12,0.17,2019/2020
2068,JoaquÃ­n,es ESP,MFFW,Betis,38,1981,34,25,2060,22.9,8,3,4,0,0.35,0.13,5.5,5.4,0.24,0.24,2019/2020
2069,Frenkie de Jong,nl NED,MF,Barcelona,22,1997,29,24,2115,23.5,2,2,3,1,0.09,0.09,1.1,2.4,0.05,0.1,2019/2020
2070,Luuk de Jong,nl NED,FW,Sevilla,28,1990,35,24,2059,22.9,6,1,2,0,0.26,0.04,7.7,2.5,0.34,0.11,2019/2020
2071,Joan JordÃ¡n,es ESP,MF,Sevilla,25,1994,34,27,2254,25,2,2,7,0,0.08,0.08,1.6,3.5,0.06,0.14,2019/2020
2072,Willian JosÃ©,br BRA,FW,Real Sociedad,27,1991,37,24,2011,22.3,11,1,4,0,0.49,0.04,10.4,1.7,0.46,0.08,2019/2020
2073,Joselu,es ESP,FW,AlavÃ©s,29,1990,36,31,2782,30.9,11,2,6,0,0.36,0.06,10.6,2.2,0.34,0.07,2019/2020
2074,Luka JoviÄ‡,rs SRB,FW,Real Madrid,21,1997,17,4,430,4.8,2,1,2,0,0.42,0.21,2.2,0.7,0.46,0.15,2019/2020
2075,Juanmi,es ESP,FWMF,Betis,26,1993,8,2,264,2.9,1,0,2,1,0.34,0,1.3,0.1,0.45,0.05,2019/2020
2076,David JuncÃ ,es ESP,DF,Celta Vigo,25,1993,3,3,258,2.9,0,0,1,0,0,0,0,0,0,0,2019/2020
2077,Lago Junior,ci CIV,MFFW,Mallorca,28,1990,35,24,2188,24.3,4,0,3,0,0.16,0,5.3,1.2,0.22,0.05,2019/2020
2078,Vinicius JÃºnior,br BRA,FWMF,Real Madrid,19,2000,29,12,1364,15.2,3,1,4,0,0.2,0.07,4.3,2.3,0.28,0.15,2019/2020
2079,Lee Kangin,kr KOR,MFFW,Valencia,18,2001,17,3,454,5,2,0,1,2,0.4,0,0.7,0.4,0.13,0.07,2019/2020
2080,Wilfrid Kaptoum,cm CMR,MF,Betis,23,1996,5,2,194,2.2,0,0,1,0,0,0,0.1,0,0.03,0.01,2019/2020
2081,Kenedy,br BRA,MFDF,Getafe,23,1996,19,3,586,6.5,1,3,2,0,0.15,0.46,0.8,1,0.12,0.15,2019/2020
2082,Kike,es ESP,FW,Eibar,29,1989,27,20,1767,19.6,5,1,2,0,0.25,0.05,6,0.8,0.3,0.04,2019/2020
2083,Giorgi Kochorashvili,ge GEO,MF,Levante,20,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2019/2020
2084,Kenan Kodro,ba BIH,FWMF,Athletic Club,25,1993,12,4,364,4,1,0,0,0,0.25,0,0.2,0,0.05,0,2019/2020
2085,Koke,es ESP,MF,AtlÃ©tico Madrid,27,1992,32,30,2698,30,4,5,5,0,0.13,0.17,2.4,5.4,0.08,0.18,2019/2020
2086,Geoffrey Kondogbia,cf CTA,MF,Valencia,26,1993,27,21,1807,20.1,1,1,5,0,0.05,0.05,1,0.2,0.05,0.01,2019/2020
2087,Jules KoundÃ©,fr FRA,DF,Sevilla,20,1998,29,25,2309,25.7,1,1,6,0,0.04,0.04,1.9,0.5,0.07,0.02,2019/2020
2088,Leonardo Koutris,gr GRE,DF,Mallorca,24,1995,2,1,93,1,0,0,0,0,0,0,0,0.2,0,0.18,2019/2020
2089,Ä°smail KÃ¶ybaÅŸÄ±,tr TUR,DFFW,Granada,30,1989,4,3,231,2.6,0,0,1,0,0,0,0,0.2,0.01,0.07,2019/2020
2090,Toni Kroos,de GER,MF,Real Madrid,29,1990,35,31,2652,29.5,4,5,2,0,0.14,0.17,2.8,4,0.1,0.14,2019/2020
2091,Takefusa Kubo,jp JPN,MFFW,Mallorca,18,2001,35,23,2312,25.7,4,4,4,0,0.16,0.16,2.8,2.9,0.11,0.11,2019/2020
2092,VÃ­ctor Laguardia,es ESP,DF,AlavÃ©s,29,1989,31,31,2654,29.5,1,2,9,1,0.03,0.07,0.8,0.9,0.03,0.03,2019/2020
2093,Diego Lainez,mx MEX,MFFW,Betis,19,2000,15,2,348,3.9,0,0,0,0,0,0,0.2,0,0.04,0.01,2019/2020
2094,Larra,es ESP,FWMF,Athletic Club,21,1997,10,2,250,2.8,0,0,0,0,0,0,0.1,0.1,0.02,0.04,2019/2020
2095,Toni Lato,es ESP,DFMF,Osasuna,21,1997,8,6,470,5.2,1,0,3,0,0.19,0,0.3,0.3,0.07,0.05,2019/2020
2096,Robin Le Normand,fr FRA,DF,Real Sociedad,22,1996,31,25,2394,26.6,1,0,6,0,0.04,0,0.9,0.3,0.03,0.01,2019/2020
2097,Wu Lei,cn CHN,FWMF,Espanyol,27,1991,33,21,1719,19.1,4,0,3,0,0.21,0,5.5,1.7,0.29,0.09,2019/2020
2098,IÃ±igo Lekue,es ESP,FWDF,Athletic Club,26,1993,14,6,623,6.9,0,1,0,0,0,0.14,0.2,0.8,0.02,0.12,2019/2020
2099,Thomas Lemar,fr FRA,MF,AtlÃ©tico Madrid,23,1995,22,10,925,10.3,0,0,2,0,0,0,0.5,0.4,0.05,0.04,2019/2020
2100,ClÃ©ment Lenglet,fr FRA,DF,Barcelona,24,1995,28,28,2424,26.9,2,1,11,2,0.07,0.04,0.8,0.5,0.03,0.02,2019/2020
2101,Pedro LeÃ³n,es ESP,MFFW,Eibar,32,1986,31,23,1896,21.1,1,2,4,0,0.05,0.09,2.9,4.2,0.14,0.2,2019/2020
2102,Sergio LeÃ³n,es ESP,FW,Levante,30,1989,22,6,672,7.5,1,0,2,0,0.13,0,2.4,0.1,0.32,0.01,2019/2020
2103,Lillo,es ESP,DF,Osasuna,30,1989,4,2,195,2.2,0,0,2,0,0,0,0,0.1,0.02,0.06,2019/2020
2104,Diego Llorente,es ESP,DF,Real Sociedad,25,1993,29,27,2327,25.9,1,1,7,1,0.04,0.04,1,0.2,0.04,0.01,2019/2020
2105,Marcos Llorente,es ESP,MFFW,AtlÃ©tico Madrid,24,1995,29,16,1368,15.2,3,3,4,0,0.2,0.2,1.9,3,0.12,0.2,2019/2020
2106,Stanislav Lobotka,sk SVK,MF,Celta Vigo,24,1994,17,17,1383,15.4,0,0,1,0,0,0,0.2,0.5,0.01,0.03,2019/2020
2107,Renan Lodi,br BRA,DF,AtlÃ©tico Madrid,21,1998,32,28,2396,26.6,1,2,6,1,0.04,0.08,0.9,1.6,0.03,0.06,2019/2020
2108,Rony Lopes,pt POR,FWMF,Sevilla,23,1995,5,2,134,1.5,0,0,0,0,0,0,0.1,0,0.09,0,2019/2020
2109,AdriÃ¡n LÃ³pez,es ESP,FWMF,Osasuna,31,1988,26,17,1443,16,2,0,0,0,0.12,0,2.6,2,0.16,0.13,2019/2020
2110,David LÃ³pez,es ESP,DFMF,Espanyol,29,1989,32,29,2455,27.3,4,2,5,1,0.15,0.07,1.1,1.1,0.04,0.04,2019/2020
2111,Diego LÃ³pez,es ESP,GK,Espanyol,37,1981,36,36,3232,35.9,0,0,5,1,0,0,0,0,0,0,2019/2020
2112,Javi LÃ³pez,es ESP,DF,Espanyol,33,1986,17,16,1384,15.4,0,0,5,1,0,0,0.1,1,0.01,0.06,2019/2020
2113,Javi LÃ³pez,es ESP,DF,AlavÃ©s,17,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,2019/2020
2114,Lluis LÃ³pez,es ESP,DF,Espanyol,22,1997,4,3,300,3.3,0,0,1,0,0,0,0.1,0,0.04,0,2019/2020
2115,Roberto LÃ³pez,es ESP,MFFW,Real Sociedad,19,2000,3,0,51,0.6,0,1,0,0,0,1.76,0,0.1,0,0.23,2019/2020
2116,Unai LÃ³pez,es ESP,MF,Athletic Club,23,1995,26,24,1787,19.9,1,4,6,0,0.05,0.2,0.8,3.1,0.04,0.15,2019/2020
2117,Losada,es ESP,MFFW,Celta Vigo,17,2001,2,0,13,0.1,1,0,0,0,6.92,0,0,0,0.16,0,2019/2020
2118,Pol Lozano,es ESP,MFFW,Espanyol,19,1999,5,2,173,1.9,0,0,0,1,0,0,0,0,0,0,2019/2020
2119,JosÃ© Luis GayÃ ,es ESP,DF,Valencia,24,1995,24,23,1988,22.1,0,1,5,0,0,0.05,0.5,1.7,0.02,0.08,2019/2020
2120,JosÃ© Luis Morales,es ESP,FWMF,Levante,32,1987,38,29,2519,28,4,2,3,0,0.14,0.07,4.7,4.1,0.17,0.15,2019/2020
2121,JosÃ© Luis RodrÃ­guez,pa PAN,FW,AlavÃ©s,21,1998,1,0,22,0.2,0,0,0,0,0,0,0,0,0.1,0,2019/2020
2122,Darwin MachÃ­s,ve VEN,FWMF,Granada,26,1993,36,20,2129,23.7,7,5,5,0,0.3,0.21,6,3.6,0.25,0.15,2019/2020
2123,Lisandro MagallÃ¡n,ar ARG,DF,AlavÃ©s,25,1993,17,13,1197,13.3,1,1,4,0,0.08,0.08,0.6,0.7,0.05,0.05,2019/2020
2124,Abdallahi Mahmoud,mr MTN,MF,AlavÃ©s,19,2000,3,1,152,1.7,0,0,1,0,0,0,0,0,0,0,2019/2020
2125,Nemanja MaksimoviÄ‡,rs SRB,MF,Getafe,24,1995,35,33,2895,32.2,2,0,5,0,0.06,0,3,0.9,0.09,0.03,2019/2020
2126,Hugo Mallo,es ESP,DF,Celta Vigo,28,1991,27,22,1965,21.8,0,1,7,0,0,0.05,0.2,1.9,0.01,0.08,2019/2020
2127,AÃ¯ssa Mandi,dz ALG,DF,Betis,27,1991,29,29,2576,28.6,0,0,9,0,0,0,1.2,0.8,0.04,0.03,2019/2020
2128,Eliaquim Mangala,fr FRA,DF,Valencia,28,1991,8,8,673,7.5,0,0,3,1,0,0,0.2,0,0.02,0,2019/2020
2129,Marcelo,br BRA,DF,Real Madrid,31,1988,15,15,1296,14.4,1,2,2,0,0.07,0.14,0.4,2.1,0.03,0.14,2019/2020
2130,Ã“scar de Marcos,es ESP,DFFW,Athletic Club,30,1989,13,6,541,6,0,1,1,0,0,0.17,0.1,1,0.01,0.16,2019/2020
2131,Miguel MarÃ­,es ESP,MF,Eibar,22,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,2019/2020
2132,JosÃ© MarÃ­a GimÃ©nez,uy URU,DF,AtlÃ©tico Madrid,24,1995,21,19,1755,19.5,0,0,2,0,0,0,0.5,0,0.03,0,2019/2020
2133,Mariano,do DOM,FW,Real Madrid,25,1993,5,0,45,0.5,1,0,1,0,2,0,0.5,0,1,0.07,2019/2020
2134,AdriÃ¡n MarÃ­n,es ESP,DF,AlavÃ©s,22,1997,12,9,852,9.5,0,0,1,0,0,0,0.6,0.3,0.06,0.03,2019/2020
2135,Guillermo MaripÃ¡n,cl CHI,DF,AlavÃ©s,25,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,2019/2020
2136,Roger MartÃ­,es ESP,FW,Levante,28,1991,36,26,2267,25.2,11,1,6,1,0.44,0.04,10.4,2.7,0.41,0.11,2019/2020
2137,Daniel MartÃ­n,es ESP,GK,Betis,21,1998,6,5,531,5.9,0,0,0,0,0,0,0,0.1,0,0.01,2019/2020
2138,Ãlex MartÃ­nez,es ESP,DF,Granada,28,1990,1,0,15,0.2,0,0,1,0,0,0,0,0,0.22,0,2019/2020
2139,IÃ±igo MartÃ­nez,es ESP,DF,Athletic Club,28,1991,33,33,2970,33,1,1,10,0,0.03,0.03,1.7,0.9,0.05,0.03,2019/2020
2140,Javi MartÃ­nez,es ESP,MF,Osasuna,19,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,2019/2020
2141,Pablo MartÃ­nez,es ESP,MFFW,Levante,21,1998,5,0,33,0.4,0,0,0,0,0,0,0.1,0.1,0.19,0.33,2019/2020
2142,Jordi Masip,es ESP,GK,Valladolid,30,1989,35,35,3150,35,0,0,2,0,0,0,0,0,0,0,2019/2020
2143,Jaime Mata,es ESP,FW,Getafe,30,1988,34,33,2747,30.5,11,3,14,0,0.36,0.1,9.4,2.5,0.31,0.08,2019/2020
2144,Borja Mayoral,es ESP,FW,Levante,22,1997,34,24,2140,23.8,8,2,2,0,0.34,0.08,7.7,2.6,0.32,0.11,2019/2020
2145,Ã“scar Melendo,es ESP,MFFW,Espanyol,21,1997,24,12,1115,12.4,0,0,0,0,0,0,0.1,0.4,0.01,0.04,2019/2020
2146,Gonzalo Melero,es ESP,MF,Levante,25,1994,25,14,1236,13.7,2,1,4,0,0.15,0.07,2.4,0.8,0.17,0.06,2019/2020
2147,Arthur Melo,br BRA,MF,Barcelona,22,1996,21,14,1182,13.1,3,3,1,0,0.23,0.23,1.3,1.2,0.1,0.09,2019/2020
2148,Brais MÃ©ndez,es ESP,MFFW,Celta Vigo,22,1997,31,15,1477,16.4,0,2,4,0,0,0.12,1.5,1.1,0.09,0.06,2019/2020
2149,Ã‰dgar MÃ©ndez,es ESP,MFFW,AlavÃ©s,29,1990,16,10,864,9.6,1,0,3,0,0.1,0,0.5,0.6,0.05,0.06,2019/2020
2150,Ferland Mendy,fr FRA,DF,Real Madrid,24,1995,25,19,1809,20.1,1,3,8,1,0.05,0.15,0.5,2.1,0.02,0.1,2019/2020
2151,Fran MÃ©rida,es ESP,MF,Osasuna,29,1990,23,12,1161,12.9,0,1,9,1,0,0.08,0.3,0.3,0.02,0.02,2019/2020
2152,Mikel Merino,es ESP,MF,Real Sociedad,23,1996,36,35,3139,34.9,5,1,9,0,0.14,0.03,2.8,2.1,0.08,0.06,2019/2020
2153,Sabin Merino,es ESP,FW,LeganÃ©s,27,1992,2,1,78,0.9,0,0,0,0,0,0,0,0,0,0.03,2019/2020
2154,Roque Mesa,es ESP,MF,LeganÃ©s,30,1989,29,22,2012,22.4,1,3,11,0,0.04,0.13,1.4,2.5,0.06,0.11,2019/2020
2155,Lionel Messi,ar ARG,FWMF,Barcelona,32,1987,33,32,2880,32,25,21,4,0,0.78,0.66,19.2,15.3,0.6,0.48,2019/2020
2156,MÃ­chel,es ESP,MF,Valladolid,31,1988,29,27,2178,24.2,1,2,6,0,0.04,0.08,1.2,2.2,0.05,0.09,2019/2020
2157,Miguel,es ESP,FW,Valladolid,19,1999,7,2,232,2.6,0,0,1,0,0,0,0,0.6,0.02,0.22,2019/2020
2158,Ã‰der MilitÃ£o,br BRA,DF,Real Madrid,21,1998,15,10,1022,11.4,0,0,3,0,0,0,0.1,0,0.01,0,2019/2020
2159,Santi Mina,es ESP,FWMF,Celta Vigo,23,1995,34,21,1944,21.6,6,3,4,0,0.28,0.14,5.6,2.4,0.26,0.11,2019/2020
2160,Jorge MiramÃ³n,es ESP,DF,Levante,30,1989,32,27,2432,27,0,3,4,1,0,0.11,0.2,2.2,0.01,0.08,2019/2020
2161,Luka ModriÄ‡,hr CRO,MF,Real Madrid,33,1985,31,22,1996,22.2,3,7,7,1,0.14,0.32,2.1,3.3,0.09,0.15,2019/2020
2162,Jorge Molina,es ESP,FW,Getafe,37,1982,34,23,1886,21,5,3,6,1,0.24,0.14,5.5,3.3,0.26,0.16,2019/2020
2163,Jon Moncayola,es ESP,MFDF,Osasuna,21,1998,27,15,1496,16.6,1,0,4,0,0.06,0,0.7,0.3,0.04,0.02,2019/2020
2164,Nacho Monreal,es ESP,DF,Real Sociedad,33,1986,29,27,2390,26.6,2,0,3,0,0.08,0,2.3,1.1,0.09,0.04,2019/2020
2165,Joan Monterde,es ESP,MF,Levante,21,1997,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,2019/2020
2166,Ãngel Montoro,es ESP,MF,Granada,31,1988,15,11,973,10.8,2,5,6,0,0.18,0.46,1.2,1.2,0.11,0.11,2019/2020
2167,Ãlvaro Morata,es ESP,FW,AtlÃ©tico Madrid,26,1992,34,25,2098,23.3,12,2,6,1,0.51,0.09,13.1,3.6,0.56,0.15,2019/2020
2168,Alberto Moreno,es ESP,DF,Villarreal,27,1992,18,17,1471,16.3,0,0,6,0,0,0,0.7,0.6,0.04,0.03,2019/2020
2169,Ãlex Moreno,es ESP,DF,Betis,26,1993,31,25,2265,25.2,0,4,5,0,0,0.16,2.2,2,0.09,0.08,2019/2020
2170,Gerard Moreno,es ESP,FWMF,Villarreal,27,1992,35,33,2744,30.5,18,5,5,0,0.59,0.16,13.5,6.7,0.44,0.22,2019/2020
2171,Manu Morlanes,es ESP,MFFW,Villarreal,20,1999,9,3,253,2.8,0,1,0,0,0,0.36,0,0.5,0,0.18,2019/2020
2172,Loren MorÃ³n,es ESP,FW,Betis,25,1993,36,21,2031,22.6,10,3,2,1,0.44,0.13,7.9,2.6,0.35,0.11,2019/2020
2173,Toni Moya,es ESP,MF,AtlÃ©tico Madrid,21,1998,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2019/2020
2174,Javi Moyano,es ESP,DF,Valladolid,33,1986,26,26,2227,24.7,0,0,4,0,0,0,0.4,0.8,0.01,0.03,2019/2020
2175,Iker Muniain,es ESP,FWMF,Athletic Club,26,1992,31,26,2382,26.5,5,2,4,1,0.19,0.08,4,2.2,0.15,0.08,2019/2020
2176,Aihen MuÃ±oz,es ESP,DF,Real Sociedad,21,1997,15,11,981,10.9,0,0,1,0,0,0,0,0,0,0,2019/2020
2177,Javier MuÃ±oz,es ESP,MF,AlavÃ©s,24,1995,1,1,52,0.6,0,0,0,0,0,0,0,0,0,0,2019/2020
2178,Jeison Murillo,co COL,DF,Celta Vigo,27,1992,18,17,1529,17,1,0,5,0,0.06,0,0.4,0,0.02,0,2019/2020
2179,Nacho,es ESP,DF,Valladolid,30,1989,23,21,1893,21,0,2,2,0,0,0.1,0.4,2.6,0.02,0.12,2019/2020
2180,Nacho,es ESP,DF,Real Madrid,29,1990,6,4,439,4.9,1,0,3,0,0.21,0,0.3,0.3,0.05,0.05,2019/2020
2181,Naldo,br BRA,DF,Espanyol,30,1988,18,15,1332,14.8,0,1,8,1,0,0.07,0.2,0,0.02,0,2019/2020
