Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
387,Mikel Oyarzabal,es ESP,FWMF,Real Sociedad,21,1997,35,13,63,25,39.7,1.8,0.71,0.16,0.4,16.4,0,3,3,11.1,8.8,0.14,1.9,1.2,2018-19
388,Fernando Pacheco,es ESP,GK,Alavés,26,1992,35,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
389,Rubén Pardo,es ESP,MFFW,Real Sociedad,25,1992,15.2,1,21,4,19,1.38,0.26,0.05,0.25,26.9,3,0,0,1,1,0.05,0,0,2018-19
390,Daniel Parejo,es ESP,MF,Valencia,29,1989,34,9,38,15,39.5,1.12,0.44,0.11,0.27,25.5,10,5,6,8.1,3.4,0.09,0.9,0.6,2018-19
391,Thomas Partey,gh GHA,MF,Atlético Madrid,25,1993,23,3,36,7,19.4,1.57,0.3,0.08,0.43,25.3,2,0,0,1.5,1.5,0.04,1.5,1.5,2018-19
392,Gabriel Paulista,br BRA,DF,Valencia,27,1990,29.1,0,11,2,18.2,0.38,0.07,0,0,11.3,0,0,0,1.1,1,0.09,-1.1,-1,2018-19
393,Alfonso Pedraza,es ESP,DFFW,Villarreal,22,1996,23.3,3,36,13,36.1,1.55,0.56,0.08,0.23,16.3,0,0,0,3.7,3.7,0.1,-0.7,-0.7,2018-19
394,Pedrosa,es ESP,DF,Espanyol,20,1998,8.5,1,6,1,16.7,0.71,0.12,0.17,1,22.5,0,0,0,0.5,0.5,0.08,0.5,0.5,2018-19
395,Rubén Peña,es ESP,DF,Eibar,27,1991,29.7,1,22,4,18.2,0.74,0.13,0.05,0.25,22.6,0,0,0,0.8,0.8,0.04,0.2,0.2,2018-19
396,Carles Pérez,es ESP,FW,Barcelona,20,1998,0.2,0,1,0,0,5,0,0,,7.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2018-19
397,Hernán Pérez,py PAR,FWMF,Espanyol,29,1989,8.8,1,15,6,40,1.7,0.68,0.07,0.17,15.5,0,0,0,1.2,1.2,0.08,-0.2,-0.2,2018-19
398,Rubén Pérez,es ESP,MF,Leganés,29,1989,27.5,0,11,3,27.3,0.4,0.11,0,0,27,0,0,0,0.3,0.3,0.03,-0.3,-0.3,2018-19
399,Pablo Piatti,ar ARG,FWMF,Espanyol,29,1989,8.3,1,15,6,40,1.82,0.73,0.07,0.17,18.5,1,0,0,1.4,1.4,0.09,-0.4,-0.4,2018-19
400,Cristiano Piccini,it ITA,DF,Valencia,25,1992,20.8,1,12,3,25,0.58,0.14,0.08,0.33,21.6,0,0,0,0.5,0.5,0.04,0.5,0.5,2018-19
401,Tomás Pina Isla,es ESP,MF,Alavés,30,1987,26,2,12,2,16.7,0.46,0.08,0.17,1,17.1,0,0,0,1.4,1.4,0.12,0.6,0.6,2018-19
