Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
64,Héctor Bellerín,es ESP,DF,Betis,26,1995,22,0,10,2,20,0.45,0.09,0,0,21,0,0,0,0.7,0.7,0.07,-0.7,-0.7,2021-22
65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,28.9,1,20,4,20,0.69,0.14,0.05,0.25,29.2,0,0,0,0.5,0.5,0.03,0.5,0.5,2021-22
66,Darío Benedetto,ar ARG,FWMF,Elche,31,1990,6.6,2,18,6,33.3,2.75,0.92,0.11,0.33,21.3,0,0,0,2.4,2.4,0.13,-0.4,-0.4,2021-22
67,Iker Benito,es ESP,FWMF,Osasuna,18,2002,1.3,0,3,1,33.3,2.29,0.76,0,0,25.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,2021-22
68,Pedro Benito,es ESP,FW,Cádiz,21,2000,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
69,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,28.8,27,117,48,41,4.06,1.67,0.17,0.42,16.2,3,7,11,24.3,16.7,0.14,2.7,3.3,2021-22
70,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,11.3,1,8,3,37.5,0.71,0.27,0.13,0.33,20.2,1,0,0,0.5,0.5,0.06,0.5,0.5,2021-22
71,Álex Berenguer,es ESP,MF,Athletic Club,26,1995,24.1,3,45,14,31.1,1.87,0.58,0.07,0.21,18,1,0,1,5.4,4.6,0.1,-2.4,-1.6,2021-22
72,Pedro Bigas,es ESP,DF,Elche,30,1990,17.2,1,12,3,25,0.7,0.17,0.08,0.33,20.6,1,0,0,0.7,0.7,0.06,0.3,0.3,2021-22
73,Blanco,es ESP,MF,Real Madrid,21,2000,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
74,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
75,Lucas Boyé,ar ARG,FW,Elche,25,1996,19,7,49,16,32.7,2.57,0.84,0.14,0.44,16.2,2,0,0,5,5,0.1,2,2,2021-22
76,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,2.6,2,7,3,42.9,2.68,1.15,0.29,0.67,12,0,0,0,1.4,1.4,0.19,0.6,0.6,2021-22
77,Darko Brašanac,rs SRB,MF,Osasuna,29,1992,26.7,1,17,5,29.4,0.64,0.19,0.06,0.2,14.8,0,0,0,1.5,1.5,0.09,-0.5,-0.5,2021-22
78,Claudio Bravo,cl CHI,GK,Betis,38,1983,16.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
79,Yan Brice Eteki,cm CMR,MF,Granada,23,1997,3.8,0,1,0,0,0.26,0,0,,13.1,0,0,0,0,0,0.02,0,0,2021-22
80,Bryan,es ESP,MFFW,Valencia,20,2001,8.4,0,11,2,18.2,1.31,0.24,0,0,16.3,0,0,0,1.4,1.4,0.13,-1.4,-1.4,2021-22
81,Ante Budimir,hr CRO,FW,Osasuna,30,1991,19.3,8,43,19,44.2,2.23,0.98,0.14,0.32,12.3,0,2,2,8.9,7.4,0.17,-0.9,-1.4,2021-22
82,Sergio Busquets,es ESP,MF,Barcelona,33,1988,35.5,2,14,4,28.6,0.39,0.11,0.14,0.5,21.3,0,0,0,0.8,0.8,0.06,1.2,1.2,2021-22
83,Adrián Butzke,es ESP,FW,Granada,22,1999,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
84,Erick Cabaco,uy URU,DF,Getafe,26,1995,4.5,0,1,0,0,0.22,0,0,,11.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2021-22
85,Leandro Cabrera,uy URU,DF,Espanyol,30,1991,37,2,18,6,33.3,0.49,0.16,0.11,0.33,11.7,0,0,0,1.4,1.4,0.08,0.6,0.6,2021-22
86,Martín Cáceres,uy URU,DF,Levante,34,1987,7.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
87,Cala,es ESP,DF,Cádiz,31,1989,10.5,0,5,0,0,0.48,0,0,,9.2,0,0,0,0.6,0.6,0.13,-0.6,-0.6,2021-22
88,Calderón,es ESP,DF,Betis,21,2000,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
89,Fernando Calero,es ESP,DF,Espanyol,25,1995,12.1,0,1,0,0,0.08,0,0,,15.3,0,0,0,0.1,0.1,0.15,-0.1,-0.1,2021-22
90,Víctor Camarasa,es ESP,MFFW,Betis,27,1994,1.2,0,1,0,0,0.83,0,0,,33,0,0,0,0,0,0.03,0,0,2021-22
91,Eduardo Camavinga,fr FRA,MF,Real Madrid,18,2002,13.7,2,12,5,41.7,0.87,0.36,0.17,0.4,24.2,0,0,0,1.3,1.3,0.11,0.7,0.7,2021-22
92,José Campaña,es ESP,MF,Levante,28,1993,15.8,2,12,5,41.7,0.76,0.32,0.17,0.4,21.4,1,0,1,1.6,0.7,0.06,0.4,1.3,2021-22
93,Sergio Canales,es ESP,FWMF,Betis,30,1991,31,5,54,24,44.4,1.74,0.77,0.09,0.21,21,3,0,0,4.8,4.8,0.09,0.2,0.2,2021-22
94,Álex Cantero,es ESP,FWMF,Levante,21,2000,6.8,0,15,5,33.3,2.21,0.74,0,0,15.2,0,0,0,2.4,2.4,0.16,-2.4,-2.4,2021-22
95,Ander Capa,es ESP,DF,Athletic Club,29,1992,0,0,1,0,0,22.5,0,0,,22.8,0,0,0,0,0,0.04,0,0,2021-22
96,Étienne Capoue,fr FRA,MF,Villarreal,33,1988,25.4,1,14,5,35.7,0.55,0.2,0.07,0.2,19.9,0,0,0,0.8,0.8,0.06,0.2,0.2,2021-22
97,Isaac Carcelen,es ESP,DFMF,Cádiz,28,1993,17.2,0,11,4,36.4,0.64,0.23,0,0,26.8,1,0,0,0.5,0.5,0.05,-0.5,-0.5,2021-22
98,Cárdenas,es ESP,GK,Levante,24,1997,24,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
99,Carlo,es ESP,MF,Villarreal,20,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
100,Diego Carlos,br BRA,DF,Sevilla,28,1993,32.9,3,30,10,33.3,0.91,0.3,0.1,0.3,14.6,1,0,0,2.4,2.4,0.08,0.6,0.6,2021-22
101,Carmona,es ESP,DF,Sevilla,19,2002,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
102,Yannick Carrasco,be BEL,FWMF,Atlético Madrid,27,1993,28.7,6,48,9,18.8,1.67,0.31,0.08,0.44,18.2,0,2,2,6,4.9,0.1,0,-0.9,2021-22
103,Guido Carrillo,ar ARG,FW,Elche,30,1991,13,2,23,10,43.5,1.77,0.77,0.09,0.2,11.3,0,0,0,2.9,2.9,0.12,-0.9,-0.9,2021-22
104,Dani Carvajal,es ESP,DF,Real Madrid,29,1992,17.2,1,10,2,20,0.58,0.12,0.1,0.5,19.9,0,0,0,0.7,0.7,0.07,0.3,0.3,2021-22
105,William Carvalho,pt POR,MF,Betis,29,1992,20.1,2,33,10,30.3,1.65,0.5,0.06,0.2,16.8,0,0,0,4,4,0.12,-2,-2,2021-22
106,Casemiro,br BRA,MF,Real Madrid,29,1992,28.5,1,41,9,22,1.44,0.32,0.02,0.11,25.1,1,0,0,2.6,2.6,0.06,-1.6,-1.6,2021-22
107,Kiko Casilla,es ESP,GK,Elche,34,1986,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
108,Catena,es ESP,DF,Rayo Vallecano,26,1994,36,2,23,6,26.1,0.64,0.17,0.09,0.33,10.8,0,0,0,1.8,1.8,0.08,0.2,0.2,2021-22
109,Dani Ceballos,es ESP,MF,Real Madrid,24,1996,3.1,0,10,4,40,3.26,1.3,0,0,20.1,1,0,0,0.8,0.7,0.07,-0.8,-0.7,2021-22
110,Franco Cervi,ar ARG,MF,Celta Vigo,27,1994,20,4,22,9,40.9,1.1,0.45,0.18,0.44,16.2,0,0,0,3.2,3.2,0.16,0.8,0.8,2021-22
111,Chapela,es ESP,MFFW,Cádiz,22,1999,4.4,0,3,0,0,0.68,0,0,,22.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2021-22
112,Chema,es ESP,MF,Getafe,29,1992,0.5,0,1,0,0,2,0,0,,29.2,0,0,0,0,0,0.03,0,0,2021-22
113,Denis Cheryshev,ru RUS,MFFW,Valencia,30,1990,6.3,0,10,4,40,1.6,0.64,0,0,16.7,0,0,0,1.1,1.1,0.11,-1.1,-1.1,2021-22
114,Samuel Chukwueze,ng NGA,MFFW,Villarreal,22,1999,14.8,3,32,7,21.9,2.16,0.47,0.09,0.43,16.3,0,0,0,4.5,4.5,0.14,-1.5,-1.5,2021-22
115,Víctor Chust,es ESP,DF,Cádiz,21,2000,20.3,0,9,2,22.2,0.44,0.1,0,0,10.3,0,0,0,0.9,0.9,0.1,-0.9,-0.9,2021-22
